
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//Ñ Agressivo -> 0x81      Agressivo -> 0x85


2510,CATERPIE,caterpie,caterpie,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,93,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              19017,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,WEEDLE,weedle,weedle,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,93,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              19017,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2516,PIDGEY,pidgey,pidgey,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,84,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              19049,500,19172,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2519,RATATA,ratata,ratata,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,80,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              19008,5000,19131,500,19137,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2541,ZUBAT,zubat,zubat,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,85,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              19013,5000,19180,500,19207,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2546,PARAS,paras,paras,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,85,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4017,5000,4109,500,4125,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2560,POLIWAG,poliwag,poliwag,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,81,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4152,500,4190,5000,4191,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2590,SHELLDER,shellder,shellder,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,94,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4098,500,4155,5000,4169,500,4190,5000,0,0,0,0,0,0,0,0,0,0,0,0
2629,MAGIKARP,magikarp,magikarp,10,250,10,4,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,81,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4100,100,4190,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2521,SPEAROW,Spearow,Spearow,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,84,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              19007,100,19049,500,19133,500,19172,5000,0,0,0,0,0,0,0,0,0,0,0,0

2523,EKANS,Ekans,Ekans,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,85,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4013,5000,4154,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2529,NIDORAN,Nidoran,Nidoran,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,85,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4013,5000,4050,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2532,NIDORAN,Nidoran,Nidoran,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,85,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4013,5000,4103,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2537,VULPIX,Vulpix,Vulpix,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,83,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4026,500,4047,5000,4059,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2543,ODDISH,Oddish,Oddish,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,87,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4003,100,4094,500,4145,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2554,PSYDUCK,Psyduck,Psyduck,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,81,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4090,500,4128,500,4190,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2566,MACHOP,Machop,Machop,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,90,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4006,100,4208,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2569,BELLSPROUT,Bellsprout,Bellsprout,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,87,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4094,500,4121,500,4145,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2577,PONYTA,Ponyta,Ponyta,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,83,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4051,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2579,SLOWPOKE,Slowpoke,Slowpoke,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,81,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4147,500,4190,5000,4191,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2588,GRIMER,Grimer,Grimer,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,85,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4013,5000,4069,500,4162,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2598,KRABBY,Krabby,Krabby,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,81,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4028,500,4190,5000,4191,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2609,KOFFING,Koffing,Koffing,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,85,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4013,5000,4188,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2616,HORSEA,Horsea,Horsea,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,81,0x81,180,1564,864,576,0,0,0,0,0,0,0,0,                              4143,500,4190,5000,4191,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2618,GOLDEEN,Goldeen,Goldeen,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,81,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4055,5000,4190,5000,4191,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2581,MAGNEMITE,Magnemite,Magnemite,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,89,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4044,500,4102,500,4141,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2600,VOLTORB,Voltorb,Voltorb,15,450,100,7,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,89,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4044,500,4102,500,4141,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2501,BULBASAUR,Bulbasaur,Bulbasaur,20,1000,10,12,1,1,50,70,1,1,10,10,10,10,10,2,10,10,0,0,87,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4003,500,4013,5000,4019,500,4094,500,4145,5000,0,0,0,0,0,0,0,0,0,0
2504,CHARMANDER,Charmander,Charmander,20,1000,10,12,1,1,50,70,1,1,10,10,10,10,10,2,10,10,0,0,83,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4047,5000,4054,500,4110,500,4124,500,0,0,0,0,0,0,0,0,0,0,0,0
2507,SQUIRTLE,Squirtle,Squirtle,20,1000,10,12,1,1,50,70,1,1,10,10,10,10,10,2,10,10,0,0,81,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4159,500,4190,5000,4191,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2525,PIKACHU,Pikachu,Pikachu,20,1000,10,12,1,1,50,70,1,1,10,10,10,10,10,2,10,10,0,0,89,0x85,180,1564,864,576,0,0,0,0,0,0,0,0,                              4043,500,4044,750,4141,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
